"filename", "language", "TypeScript", "comment", "blank", "total"
"/home/aryan/Downloads/Projects/GAIA/gaia-frontend/src/lib/utils.ts", "TypeScript", 18, 0, 5, 23
"Total", "-", 18, 0, 5, 23
